Position,Track Name,Artist,Streams,URL,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
23,Volando - Remix,Mora,2151262,'https://open.spotify.com/track/0G2zPzWqVjR68iNPmx2TBe',0.659,0.688,6,-4.649,1,0.0673,0.207,0,0.113,0.632,153.979, 'audio_features', '0G2zPzWqVjR68iNPmx2TBe', 'spotify:track:0G2zPzWqVjR68iNPmx2TBe', 'https://api.spotify.com/v1/tracks/0G2zPzWqVjR68iNPmx2TBe', 'https://api.spotify.com/v1/audio-analysis/0G2zPzWqVjR68iNPmx2TBe',273474,4
24,Leave The Door Open,Bruno Mars,2079621,'https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh',0.586,0.616,5,-7.964,1,0.0324,0.182,0,0.0927,0.719,148.088, 'audio_features', '7MAibcTli4IisCtbHKrGMh', 'spotify:track:7MAibcTli4IisCtbHKrGMh', 'https://api.spotify.com/v1/tracks/7MAibcTli4IisCtbHKrGMh', 'https://api.spotify.com/v1/audio-analysis/7MAibcTli4IisCtbHKrGMh',242096,4
25,Ain't Shit,Doja Cat,2033184,'https://open.spotify.com/track/5lAnYvAIkSDNXqfo7DyFUm',0.855,0.488,3,-4.601,1,0.208,0.506,0,0.347,0.619,124.097, 'audio_features', '5lAnYvAIkSDNXqfo7DyFUm', 'spotify:track:5lAnYvAIkSDNXqfo7DyFUm', 'https://api.spotify.com/v1/tracks/5lAnYvAIkSDNXqfo7DyFUm', 'https://api.spotify.com/v1/audio-analysis/5lAnYvAIkSDNXqfo7DyFUm',174253,4
26,drivers license,Olivia Rodrigo,1995971,'https://open.spotify.com/track/5wANPM4fQCJwkGd4rN57mH',0.561,0.431,10,-8.81,1,0.0578,0.768,0.0000142,0.106,0.137,143.875, 'audio_features', '5wANPM4fQCJwkGd4rN57mH', 'spotify:track:5wANPM4fQCJwkGd4rN57mH', 'https://api.spotify.com/v1/tracks/5wANPM4fQCJwkGd4rN57mH', 'https://api.spotify.com/v1/audio-analysis/5wANPM4fQCJwkGd4rN57mH',242013,4
27,Heat Waves,Glass Animals,1976102,'https://open.spotify.com/track/02MWAaffLxlfxAUY7c5dvx',0.761,0.525,11,-6.9,1,0.0944,0.44,0.0000067,0.0921,0.531,80.87, 'audio_features', '02MWAaffLxlfxAUY7c5dvx', 'spotify:track:02MWAaffLxlfxAUY7c5dvx', 'https://api.spotify.com/v1/tracks/02MWAaffLxlfxAUY7c5dvx', 'https://api.spotify.com/v1/audio-analysis/02MWAaffLxlfxAUY7c5dvx',238805,4
28,Blinding Lights,The Weeknd,1897869,'https://open.spotify.com/track/0VjIjW4GlUZAMYd2vXMi3b',0.514,0.73,1,-5.934,1,0.0598,0.00146,0.0000954,0.0897,0.334,171.005, 'audio_features', '0VjIjW4GlUZAMYd2vXMi3b', 'spotify:track:0VjIjW4GlUZAMYd2vXMi3b', 'https://api.spotify.com/v1/tracks/0VjIjW4GlUZAMYd2vXMi3b', 'https://api.spotify.com/v1/audio-analysis/0VjIjW4GlUZAMYd2vXMi3b',200040,4
29,happier,Olivia Rodrigo,1844069,'https://open.spotify.com/track/2tGvwE8GcFKwNdAXMnlbfl',0.395,0.443,6,-9.72,1,0.133,0.765,0.00000967,0.0839,0.338,168.924, 'audio_features', '2tGvwE8GcFKwNdAXMnlbfl', 'spotify:track:2tGvwE8GcFKwNdAXMnlbfl', 'https://api.spotify.com/v1/tracks/2tGvwE8GcFKwNdAXMnlbfl', 'https://api.spotify.com/v1/audio-analysis/2tGvwE8GcFKwNdAXMnlbfl',175933,3
30,NDA,Billie Eilish,1834296,'https://open.spotify.com/track/38GBNKZUhfBkk3oNlWzRYd',0.765,0.373,8,-9.921,1,0.0713,0.341,0.525,0.112,0.554,85.016, 'audio_features', '38GBNKZUhfBkk3oNlWzRYd', 'spotify:track:38GBNKZUhfBkk3oNlWzRYd', 'https://api.spotify.com/v1/tracks/38GBNKZUhfBkk3oNlWzRYd', 'https://api.spotify.com/v1/audio-analysis/38GBNKZUhfBkk3oNlWzRYd',195777,4
31,Astronaut In The Ocean,Masked Wolf,1735587,'https://open.spotify.com/track/0BGwAKW4u8kWOhWFflZxfl',0.778,0.695,4,-6.865,0,0.0913,0.175,0,0.15,0.472,149.996, 'audio_features', '0BGwAKW4u8kWOhWFflZxfl', 'spotify:track:0BGwAKW4u8kWOhWFflZxfl', 'https://api.spotify.com/v1/tracks/0BGwAKW4u8kWOhWFflZxfl', 'https://api.spotify.com/v1/audio-analysis/0BGwAKW4u8kWOhWFflZxfl',132780,4
32,Skate,Bruno Mars,1709530,'https://open.spotify.com/track/2sXf2JdbB2GlNju00kw9WE',0.719,0.631,5,-7.779,1,0.0312,0.0384,0,0.109,0.761,111.982, 'audio_features', '2sXf2JdbB2GlNju00kw9WE', 'spotify:track:2sXf2JdbB2GlNju00kw9WE', 'https://api.spotify.com/v1/tracks/2sXf2JdbB2GlNju00kw9WE', 'https://api.spotify.com/v1/audio-analysis/2sXf2JdbB2GlNju00kw9WE',203123,4
33,Friday (feat. Mufasa & Hypeman) - Dopamine Re-Edit,Riton,1677708,'https://open.spotify.com/track/4cG7HUWYHBV6R6tHn1gxrl',0.824,0.862,2,-3.424,1,0.126,0.0076,0.000132,0.303,0.801,122.98, 'audio_features', '4cG7HUWYHBV6R6tHn1gxrl', 'spotify:track:4cG7HUWYHBV6R6tHn1gxrl', 'https://api.spotify.com/v1/tracks/4cG7HUWYHBV6R6tHn1gxrl', 'https://api.spotify.com/v1/audio-analysis/4cG7HUWYHBV6R6tHn1gxrl',169153,4
34,Oxytocin,Billie Eilish,1674041,'https://open.spotify.com/track/4t2OeILB07eMGTXSUbMPEu',0.757,0.598,11,-7.777,1,0.058,0.0904,0.551,0.15,0.18,124.951, 'audio_features', '4t2OeILB07eMGTXSUbMPEu', 'spotify:track:4t2OeILB07eMGTXSUbMPEu', 'https://api.spotify.com/v1/tracks/4t2OeILB07eMGTXSUbMPEu', 'https://api.spotify.com/v1/audio-analysis/4t2OeILB07eMGTXSUbMPEu',210233,4
35,Pareja Del Ano,Sebastian Yatra,1623666,'https://open.spotify.com/track/2rCbl9naJYhaxjLsfx88uM',0.715,0.622,4,-5.102,0,0.046,0.163,0,0.0948,0.808,80.015, 'audio_features', '2rCbl9naJYhaxjLsfx88uM', 'spotify:track:2rCbl9naJYhaxjLsfx88uM', 'https://api.spotify.com/v1/tracks/2rCbl9naJYhaxjLsfx88uM', 'https://api.spotify.com/v1/audio-analysis/2rCbl9naJYhaxjLsfx88uM',195053,4
36,Getting Older,Billie Eilish,1620542,'https://open.spotify.com/track/4HOryCnbme0zBnF8LWij3f',0.599,0.128,10,-17.261,1,0.109,0.974,0.121,0.115,0.367,159.679, 'audio_features', '4HOryCnbme0zBnF8LWij3f', 'spotify:track:4HOryCnbme0zBnF8LWij3f', 'https://api.spotify.com/v1/tracks/4HOryCnbme0zBnF8LWij3f', 'https://api.spotify.com/v1/audio-analysis/4HOryCnbme0zBnF8LWij3f',244221,4
37,911 - Remix,Sech,1613307,'https://open.spotify.com/track/27RSJHEA99Y0Vsow7nA37A',0.816,0.71,7,-3.728,1,0.0398,0.165,0,0.292,0.784,93.02, 'audio_features', '27RSJHEA99Y0Vsow7nA37A', 'spotify:track:27RSJHEA99Y0Vsow7nA37A', 'https://api.spotify.com/v1/tracks/27RSJHEA99Y0Vsow7nA37A', 'https://api.spotify.com/v1/audio-analysis/27RSJHEA99Y0Vsow7nA37A',208631,4
38,favorite crime,Olivia Rodrigo,1578619,'https://open.spotify.com/track/5JCoSi02qi3jJeHdZXMmR8',0.369,0.272,9,-10.497,1,0.0364,0.866,0,0.147,0.218,172.929, 'audio_features', '5JCoSi02qi3jJeHdZXMmR8', 'spotify:track:5JCoSi02qi3jJeHdZXMmR8', 'https://api.spotify.com/v1/tracks/5JCoSi02qi3jJeHdZXMmR8', 'https://api.spotify.com/v1/audio-analysis/5JCoSi02qi3jJeHdZXMmR8',152667,4
39,Don't Go Yet,Camila Cabello,1560573,'https://open.spotify.com/track/1058fW9H3fZA6QjYCdOBad',0.666,0.796,10,-6.967,0,0.103,0.0492,0,0.0442,0.61,110.108, 'audio_features', '1058fW9H3fZA6QjYCdOBad', 'spotify:track:1058fW9H3fZA6QjYCdOBad', 'https://api.spotify.com/v1/tracks/1058fW9H3fZA6QjYCdOBad', 'https://api.spotify.com/v1/audio-analysis/1058fW9H3fZA6QjYCdOBad',164842,4
40,Billie Bossa Nova,Billie Eilish,1544560,'https://open.spotify.com/track/2KnuaZYoGzDoHiBTNYOTXG',0.895,0.389,7,-11.036,0,0.11,0.222,0.0346,0.105,0.549,110.023, 'audio_features', '2KnuaZYoGzDoHiBTNYOTXG', 'spotify:track:2KnuaZYoGzDoHiBTNYOTXG', 'https://api.spotify.com/v1/tracks/2KnuaZYoGzDoHiBTNYOTXG', 'https://api.spotify.com/v1/audio-analysis/2KnuaZYoGzDoHiBTNYOTXG',196731,4
41,Mienteme,TINI,1543917,'https://open.spotify.com/track/0cOa970mzTWAxKtltpkpLc',0.85,0.541,2,-4.522,1,0.0674,0.161,0.00000501,0.286,0.916,92.003, 'audio_features', '0cOa970mzTWAxKtltpkpLc', 'spotify:track:0cOa970mzTWAxKtltpkpLc', 'https://api.spotify.com/v1/tracks/0cOa970mzTWAxKtltpkpLc', 'https://api.spotify.com/v1/audio-analysis/0cOa970mzTWAxKtltpkpLc',165275,4
42,Entre Nosotros,Tiago PZK,1536947,'https://open.spotify.com/track/6w8yBI2vthyN9UnwO4UBWb',0.729,0.513,5,-6.345,0,0.0455,0.494,0.0000011,0.137,0.789,170.064, 'audio_features', '6w8yBI2vthyN9UnwO4UBWb', 'spotify:track:6w8yBI2vthyN9UnwO4UBWb', 'https://api.spotify.com/v1/tracks/6w8yBI2vthyN9UnwO4UBWb', 'https://api.spotify.com/v1/audio-analysis/6w8yBI2vthyN9UnwO4UBWb',192353,3
