,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
88,歌よ,Belle,41131,https://open.spotify.com/track/5dy1QO156l2ct1MVPzc8px
89,夜のピエロ,Ado,40975,https://open.spotify.com/track/59bPgyrdKgjWkcjxcYoaox
90,分かってないよ,WurtS,40280,https://open.spotify.com/track/5wosJVYKzl3g7XElM98m23
91,CHILDAYS,"BLOOM VASE",40055,https://open.spotify.com/track/1g1AXdio16Yh5SXgPBXcfq
92,愛を知るまでは,Aimyon,39755,https://open.spotify.com/track/5gh0y6ZmuppQvoPbAGkeE2
93,正しくなれない,ZUTOMAYO,39039,https://open.spotify.com/track/2FHexlZenTsS3lsjUYHiDx
94,"Ordinary days",milet,38515,https://open.spotify.com/track/6D5E8pz4YKYrjY9BqROTox
95,"One Last Kiss","Hikaru Utada",37788,https://open.spotify.com/track/5RhWszHMSKzb7KiXk4Ae0M
96,カイト,ARASHI,37774,https://open.spotify.com/track/5lo3L98nR2VpN2dM9UFJu0
97,Beggin',Måneskin,37667,https://open.spotify.com/track/3Wrjm47oTz2sjIgck11l5e
98,Universe,"Official HIGE DANdism",37604,https://open.spotify.com/track/6KLaKHxwJE3CZECVJLH4cN
99,"Step and a step",NiziU,37379,https://open.spotify.com/track/5DgAgJbHcm74RyA9YKj6k1
100,"Poppin' Shakin'",NiziU,37378,https://open.spotify.com/track/0jfFu1W96AlrsMqXSZZlSt
101,"good 4 u","Olivia Rodrigo",37373,https://open.spotify.com/track/4ZtFanR9U6ndgddUvNcjcG
102,Monster,YOASOBI,37067,https://open.spotify.com/track/7M9lc2hHXKQobbHQ31Yg2v
103,高嶺の花子さん,"back number",36711,https://open.spotify.com/track/2jdbZGFp8KVTuk0YxDNL4l
104,まちがいさがし,"Masaki Suda",36500,https://open.spotify.com/track/55Ww4Pa1iIQMhh0MLMetjo
105,"Super Summer",NiziU,36402,https://open.spotify.com/track/2cT06UlzGqsv38XqpRPk0o
106,Skate,"Bruno Mars",36389,https://open.spotify.com/track/2sXf2JdbB2GlNju00kw9WE
107,花束のかわりにメロディーを,"Shota Shimizu",36324,https://open.spotify.com/track/2028QNsVTmp5IF7UK4ZnaE
108,"Broken Heart of Gold","ONE OK ROCK",36291,https://open.spotify.com/track/5DLqCKIi1lquKvGTIjlf6I
109,ヴァンパイア,DECO*27,35915,https://open.spotify.com/track/0m9QPTZzjtqCWY9Jg8poHc
110,ブルーベリー・ナイツ,"Macaroni Empitsu",35812,https://open.spotify.com/track/2UdvMWk0Z83lMJPbawy2Sm
111,Shukumei,"Official HIGE DANdism",35643,https://open.spotify.com/track/0XaHPBAzPAC5ubwcRBqc1p
112,"Shape of You","Ed Sheeran",35427,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
113,"Leave The Door Open","Bruno Mars",35082,https://open.spotify.com/track/7MAibcTli4IisCtbHKrGMh
114,10月無口な君を忘れる,あたらよ,34865,https://open.spotify.com/track/006u4CXVO2cusq08RrMElQ
115,ワタリドリ,[Alexandros],34707,https://open.spotify.com/track/0ve9Tpz8Yw0I4eXhWsy21o
116,ノーダウト,"Official HIGE DANdism",34672,https://open.spotify.com/track/5DMEvbg3gUmiR5HIBWdveV
117,DNA,BTS,34652,https://open.spotify.com/track/5SE57ljOIUJ1ybL9U6CuBH
118,僕のこと,"Mrs. GREEN APPLE",34626,https://open.spotify.com/track/0tnhoHUrHfcLi9hPknUFZ4
119,"I CAN'T STOP ME",TWICE,34052,https://open.spotify.com/track/3apeXzypBMnUfYcZYNX6DH
120,"INDUSTRY BABY (feat. Jack Harlow)","Lil Nas X",33902,https://open.spotify.com/track/27NovPIUIRrOZoCHxABJwK
121,名前を呼ぶよ,"SUPER BEAVER",33699,https://open.spotify.com/track/5iTyiE1jAfmjorzFLc4Frg
122,香水,Eito,33550,https://open.spotify.com/track/786dSB84yrSaICJwCT7VxP
123,君はロックを聴かない,Aimyon,33501,https://open.spotify.com/track/59eluCMn0XbOWqeWQ91FTM
124,心のそばに,Belle,33497,https://open.spotify.com/track/2hR3yLXHkMQLvdOPR8LGQp
125,Lights,BTS,33370,https://open.spotify.com/track/3TDUktzfYXMWjkWqwoT5F1
126,Euphoria,BTS,33143,https://open.spotify.com/track/3p6hnejEQYXkiTO1lAzVc0
127,"Kura Kura",TWICE,33106,https://open.spotify.com/track/3sroak7dIqGRGmC6VQVDtg
128,"Wherever you are","ONE OK ROCK",33052,https://open.spotify.com/track/7a7EIFzJLd7lcDRgThMQgm
129,HANABI,Mr.Children,33022,https://open.spotify.com/track/0AU7xhipAm9Saq0k8A9Iua
130,"Kiss Me More (feat. SZA)","Doja Cat",32913,https://open.spotify.com/track/3DarAbFujv6eYNliUTyqtz
131,"TEENAGE VIBE",kZm,32692,https://open.spotify.com/track/0X5j6Fw8077d74Q1WtyiqF
