,,,"Note that these figures are generated using a formula that protects against any artificial inflation of chart positions.",
Position,"Track Name",Artist,Streams,URL
100,"WITHOUT YOU","The Kid LAROI",949741,https://open.spotify.com/track/27OeeYzk6klgBh83TSvGMA
101,"Love Again","Dua Lipa",946027,https://open.spotify.com/track/4rPkN1FMzQyFNP9cLUGIIB
102,"Over The Top (feat. Drake)",Smiley,942026,https://open.spotify.com/track/3yaYgjEFkRw3PVjW9mV1TO
103,"ZITTI E BUONI",Måneskin,935580,https://open.spotify.com/track/776AftMmFFAWUIEAb3lHhw
104,"Goosebumps - Remix","Travis Scott",932169,https://open.spotify.com/track/5uEYRdEIh9Bo4fpjDd4Na9
105,"lovely (with Khalid)","Billie Eilish",930038,https://open.spotify.com/track/0u2P5u6lvoDfwTYjAADbn4
106,"Iko Iko (My Bestie)","Justin Wellington",927759,https://open.spotify.com/track/7MC4XR9M9amdmKQr2iDF7i
107,"Everybody Dies","Billie Eilish",926045,https://open.spotify.com/track/5jhBwnqzNNrENXnYrAdoCe
108,"Bezos I","Bo Burnham",925124,https://open.spotify.com/track/0Kdj7nwaYQmvhxnqZaIQuW
109,Circles,"Post Malone",920846,https://open.spotify.com/track/21jGcNKet2qwijlDFuPiPb
110,512,Mora,916426,https://open.spotify.com/track/5jzEwSyyymBlf1fa1o39T2
111,YaMeFui,Bizarrap,916305,https://open.spotify.com/track/42ahuAFlYGjIGBpVdHcLij
112,Fulanito,"Becky G",913370,https://open.spotify.com/track/59L8x0xy8njj75vzVCPMqg
113,"Ficha Limpa","Gusttavo Lima",898812,https://open.spotify.com/track/5SwyN9hzmWjBsINlif8li8
114,"No Me Conocen (Remix) [con DUKI, Rei & Tiago PZK]",BANDIDO,898737,https://open.spotify.com/track/7COGuXyTr12KvdaYXMqheC
115,positions,"Ariana Grande",894587,https://open.spotify.com/track/35mvY5S1H3J2QZyna3TFe0
116,"Before You Go","Lewis Capaldi",893768,https://open.spotify.com/track/2gMXnyrvIjhVBUZwvLZDMP
117,MORENA,"Luan Santana",889191,https://open.spotify.com/track/4PQdrXMDHDPl1RczrrlADd
118,"Talking to the Moon","Bruno Mars",887215,https://open.spotify.com/track/161DnLWsx1i3u1JT05lzqU
119,"Aquelas Coisas","João Gomes",886672,https://open.spotify.com/track/0FqVtQxRD3HsPltldG5v5M
120,"Not My Responsibility","Billie Eilish",877466,https://open.spotify.com/track/4T2zre0jqstNJ5Gt0WG9lz
121,"Sunflower - Spider-Man: Into the Spider-Verse","Post Malone",871402,https://open.spotify.com/track/0RiRZpuVRbi7oqRdSMwhQY
122,BED,"Joel Corry",870758,https://open.spotify.com/track/0siYMEsGrzzzlWLXK5zJfS
123,"Sal y Perrea",Sech,866573,https://open.spotify.com/track/5u7twkeask1VIyDeNTElSU
124,Believer,"Imagine Dragons",863614,https://open.spotify.com/track/0pqnGHJpmpxLKifKRmU6WP
125,"Lemonade (feat. Gunna, Don Toliver & NAV)","Internet Money",861896,https://open.spotify.com/track/7hxHWCCAIIxFLCzvDgnQHX
126,"Head & Heart (feat. MNEK)","Joel Corry",861015,https://open.spotify.com/track/6cx06DFPPHchuUAcTxznu9
127,"Se For Amor","João Gomes",858106,https://open.spotify.com/track/5F2xRvRFkxDvqdFtUNAEyw
128,Streets,"Doja Cat",853064,https://open.spotify.com/track/60ynsPSSKe6O3sfwRnIBRf
129,"Ram Pam Pam","Natti Natasha",842070,https://open.spotify.com/track/4DHDIdeayp8xvlyg22wREO
130,"Baby Me Atende","Matheus Fernandes",839336,https://open.spotify.com/track/1bWBG6IkMnDr3qvCKSvQT7
131,"Shape of You","Ed Sheeran",838173,https://open.spotify.com/track/7qiZfU4dY1lWllzX7mPBI3
132,Perfect,"Ed Sheeran",835498,https://open.spotify.com/track/0tgVpDi06FyKpA1z0VMD4v
133,Heather,"Conan Gray",829042,https://open.spotify.com/track/4xqrdfXkTW4T0RauPLv3WA
134,"Here's Your Perfect","Jamie Miller",824911,https://open.spotify.com/track/2aTKrdenCq5qBOoJPFdn4P
135,"LA NOCHE DE ANOCHE","Bad Bunny",822532,https://open.spotify.com/track/2XIc1pqjXV3Cr2BQUGNBck
136,"Roses - Imanbek Remix","SAINt JHN",815162,https://open.spotify.com/track/0zLCBJZSiELJf02ucPP9wb
137,"you broke me first","Tate McRae",810653,https://open.spotify.com/track/45bE4HXI0AwGZXfZtMp8JR
138,Riptide,"Vance Joy",808889,https://open.spotify.com/track/7yq4Qj7cqayVTp3FF9CWbm
139,Señorita,"Shawn Mendes",807657,https://open.spotify.com/track/6v3KW9xbzN5yKLt9YKDYA2
140,Reckless,"Madison Beer",803468,https://open.spotify.com/track/5ajjAnNRh8bxFvaVHzpPjh
141,"Daddy Issues","The Neighbourhood",803012,https://open.spotify.com/track/5E30LdtzQTGqRvNd7l6kG5
142,"Smells Like Teen Spirit",Nirvana,799807,https://open.spotify.com/track/1f3yAtsJtY87CTmM8RLnxf
143,"The Nights",Avicii,798432,https://open.spotify.com/track/0ct6r3EGTcMLPtrXHDvVjc
144,"Hold On","Justin Bieber",793742,https://open.spotify.com/track/1nahzW3kfMuwReTka28tH5
145,"Não, Não Vou","Mari Fernandez",792219,https://open.spotify.com/track/0xBQvhJAm6f7J142ympKOn
146,"Bohemian Rhapsody - Remastered 2011",Queen,791239,https://open.spotify.com/track/4u7EnebtmKWzUH433cf5Qv
147,"ROCKSTAR (feat. Roddy Ricch)",DaBaby,789791,https://open.spotify.com/track/7ytR5pFWmSjzHJIeQkgog4
148,Pain,PinkPantheress,784202,https://open.spotify.com/track/7CIERzyqIwLVKGp00YbHRO
149,"Another Love","Tom Odell",779346,https://open.spotify.com/track/7jtQIBanIiJOMS6RyCx6jZ
150,"2:50 Remix",MYA,779144,https://open.spotify.com/track/74znaWw1hmQBusGPSOuTFy
151,Cúrame,"Rauw Alejandro",778418,https://open.spotify.com/track/3PwRuzdphgedcWVUOVYJ7I
152,"Miss The Rage (feat. Playboi Carti)","Trippie Redd",776043,https://open.spotify.com/track/2BITQ360Knh6qNAOqR7Dyq
153,Hawái,Maluma,774682,https://open.spotify.com/track/1yoMvmasuxZfqHEipJhRbp
154,"Como Si No Importara",Emilia,766018,https://open.spotify.com/track/1GYJpuLq41vEVKXiHGEY9j
155,"Take Me To Church",Hozier,759672,https://open.spotify.com/track/3dYD57lRAUcMHufyqn9GcI
156,Memories,"Maroon 5",759135,https://open.spotify.com/track/4cktbXiXOapiLBMprHFErI
157,"bad guy","Billie Eilish",755147,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m
158,goosebumps,"Travis Scott",754876,https://open.spotify.com/track/6gBFPUFcJLzWGx4lenP6h2
159,"t r a n s p a r e n t s o u l feat. Travis Barker",WILLOW,746915,https://open.spotify.com/track/5JKnYZOhSP7rOK0jPYcCjV
160,Yellow,Coldplay,745391,https://open.spotify.com/track/3AJwUDP919kvQ9QcozQPxg
161,"Dreams - 2004 Remaster","Fleetwood Mac",745047,https://open.spotify.com/track/0ofHAoxe9vBkTCp2UQIavz
162,"enough for you","Olivia Rodrigo",742293,https://open.spotify.com/track/2TOzTqQXNmR2zDJXihjZ2e
163,Shallow,"Lady Gaga",742052,https://open.spotify.com/track/2VxeLyX666F8uXCJ0dZF8B
164,"Faz Amor Comigo Só Hoje - Ao Vivo","Israel & Rodolffo",733508,https://open.spotify.com/track/7Kba4OaxQFQ1zlknQUpNqN
165,"Counting Stars",OneRepublic,733261,https://open.spotify.com/track/2tpWsVSb9UEmDRxAl1zhX1
166,"Fancy Like","Walker Hayes",730484,https://open.spotify.com/track/3ZozFqJJlDBNIm4xqxn2ZD
167,Bandido,"Myke Towers",725556,https://open.spotify.com/track/1xK1Gg9SxG8fy2Ya373oqb
168,"Lucid Dreams","Juice WRLD",725504,https://open.spotify.com/track/285pBltuF7vW8TeWk8hdRR
169,"Tell Em",Cochise,723135,https://open.spotify.com/track/7nc7mlSdWYeFom84zZ8Wr8
170,"Little Bit of Love","Tom Grennan",721984,https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
171,"Se Me Olvidó","Gera MX",719792,https://open.spotify.com/track/7xLYLM5K6S1TwiSdfuhZQg
172,"ALMAS GEMELAS","Myke Towers",717580,https://open.spotify.com/track/2KcNrONbZ0hvBPjvrDO2tx
173,"Wake Me Up",Avicii,713746,https://open.spotify.com/track/0nrRP2bk19rLc0orkWPQk2
174,"Calling My Phone","Lil Tjay",712247,https://open.spotify.com/track/3J8EOeKLTLXORtWPpOU5bE
175,Runaway,AURORA,711803,https://open.spotify.com/track/1v1oIWf2Xgh54kIWuKsDf6
176,"What You Know Bout Love","Pop Smoke",706370,https://open.spotify.com/track/1tkg4EHVoqnhR6iFEXb60y
177,"death bed (coffee for your head)",Powfu,706206,https://open.spotify.com/track/7eJMfftS33KTjuF7lTsMCx
178,"Another One Bites The Dust - Remastered 2011",Queen,705098,https://open.spotify.com/track/5vdp5UmvTsnMEMESIF2Ym7
179,"Say You Won't Let Go","James Arthur",704448,https://open.spotify.com/track/5uCax9HTNlzGybIStD3vDh
180,"Mr. Brightside","The Killers",703854,https://open.spotify.com/track/003vvx7Niy0yvhvHt4a68B
181,"Chosen (feat. Ty Dolla $ign)",Blxst,699295,https://open.spotify.com/track/1dIWPXMX4kRHj6Dt2DStUQ
182,"Every Breath You Take","The Police",699125,https://open.spotify.com/track/1JSTJqkT5qHq8MDJnJbRE1
183,"Zero Saudade - Ao Vivo","Os Barões Da Pisadinha",696730,https://open.spotify.com/track/1oIqP923yBKV45IaXm5s14
184,"WAP (feat. Megan Thee Stallion)","Cardi B",696452,https://open.spotify.com/track/4Oun2ylbjFKMPTiaSbbCih
185,Dior,"Pop Smoke",692381,https://open.spotify.com/track/79s5XnCN4TJKTVMSmOx8Ep
186,"Jocelyn Flores",XXXTENTACION,686555,https://open.spotify.com/track/7m9OqQk4RVRkw9JJdeAw96
187,"For The Night (feat. Lil Baby & DaBaby)","Pop Smoke",686146,https://open.spotify.com/track/0PvFJmanyNQMseIFrU708S
188,"Se Joga no Passinho","Brisa Star",685358,https://open.spotify.com/track/41pFFOnh1glVNIlrWOpBjb
189,34+35,"Ariana Grande",685312,https://open.spotify.com/track/6Im9k8u9iIzKMrmV7BWtlF
190,"Blaues Licht","RAF Camora",684153,https://open.spotify.com/track/08EPQiLMyGB8GJX2EiVoCM
191,"Martin & Gina","Polo G",682257,https://open.spotify.com/track/1VLtjHwRWOVJiE5Py7JxoQ
192,"Não Nasceu pra Namorar","MC Zaquin",677737,https://open.spotify.com/track/6pQKUKBpwr6GhfhcFFFozo
193,Up,"Cardi B",675341,https://open.spotify.com/track/1M4OcYkxAtu3ErzSgDEfoi
194,"Paradise (feat. Dermot Kennedy)",MEDUZA,672140,https://open.spotify.com/track/6ft4hAq6yde8jPZY2i5zLr
195,Bipolar,"Mc Davi",669500,https://open.spotify.com/track/0qxLQ6opocOGyFnlXqJ53x
196,"The Real Slim Shady",Eminem,668331,https://open.spotify.com/track/3yfqSUWxFvZELEM4PmlwIR
197,"Wasted Love (feat. Lagique)",Ofenbach,668162,https://open.spotify.com/track/2pPO9YecZimmuVQfIzfV6U
198,"Cover Me In Sunshine",P!nk,667863,https://open.spotify.com/track/0UKUfxIkDAMZz7hMdiVX3m
199,"All of Me","John Legend",667656,https://open.spotify.com/track/3U4isOIWM3VvDubwSI3y7a
200,"1 step forward, 3 steps back","Olivia Rodrigo",665243,https://open.spotify.com/track/4wcBRRpIfesgcyUtis7PEg
